id,normalized_id,title_zh,status,confidence,source_note_id,path
A1,A1,"I(t,L) 提议者意识",fact_checked,,1912585701831098096,data/functions/items/A1.json
A2,A2,"Posture(t,L) 提议者姿态 + 退出权不对称",fact_checked,,1912585701831098096,data/functions/items/A2.json
A3,A3,"R(t,L,C) 应约者退出权",fact_checked,,1912585701831098096,data/functions/items/A3.json
A4,A4,"Rperceived(t,L,C) 应约者感知退出权",fact_checked,,1912585701831098096,data/functions/items/A4.json
A5,A5,"Cexit(t,L,C) 退出成本",fact_checked,,1912585701831098096,data/functions/items/A5.json
A6,A6,"H(t,L) 遮蔽函数（双源）",fact_checked,,1912585701831098096,data/functions/items/A6.json
A7,A7,"ε(t,L,C) 退出权信号 + 主权函数",fact_checked,,1912585701831098096,data/functions/items/A7.json
A8,A8,"dim(t,L) 决策维度",fact_checked,,1912585701831098096,data/functions/items/A8.json
A9,A9,"Pexit(t,L,C) 退出概率",fact_checked,,1912585701831098096,data/functions/items/A9.json
D1,D1,锁定强度函数,fact_checked,,1912587497125378176,data/functions/items/D1.json
D10,D10,种子激活,fact_checked,,1912587497125378176,data/functions/items/D10.json
D100,D100,AI工作缓存架构函数,fact_checked,,1912587497125378176,data/functions/items/D100.json
D101,D101,上下文-缓存分离函数,fact_checked,,1912587497125378176,data/functions/items/D101.json
D102,D102,预测编码回路函数,fact_checked,,1912587497125378176,data/functions/items/D102.json
D103,D103,动态算力分配函数,fact_checked,,1912587497125378176,data/functions/items/D103.json
D104,D104,工作缓存函数,fact_checked,,1912587497125378176,data/functions/items/D104.json
D105,D105,缓存容量倒U型函数,fact_checked,,1912587497125378176,data/functions/items/D105.json
D106,D106,AI意识升级必然性函数,fact_checked,,1912587497125378176,data/functions/items/D106.json
D107,D107,认知-收益滞后函数,fact_checked,,1912587497125378176,data/functions/items/D107.json
D108,D108,乘法系统生存域函数,fact_checked,,1912587497125378176,data/functions/items/D108.json
D109,D109,AI物种分化函数,fact_checked,,1912587497125378176,data/functions/items/D109.json
D11,D11,种子爆发ε_eff恢复,fact_checked,,1912587497125378176,data/functions/items/D11.json
D110,D110,调度-执行接口效率函数,fact_checked,,1912587497125378176,data/functions/items/D110.json
D111,D111,缓存比不稳定区间函数,fact_checked,,1912587497125378176,data/functions/items/D111.json
D112,D112,调度重演函数,fact_checked,,1912587497125378176,data/functions/items/D112.json
D113,D113,CAI编码能力函数,fact_checked,,1912587497125378176,data/functions/items/D113.json
